Emotion,Emotion_Level,Gender,Race,Ethnicity,Manipulation,Detection Score,Original Score
FEA,HI.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.49477922916412354,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.6770684123039246,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Equalization,0.9974892735481262,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.33805596828460693,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.8652160167694092,1.0
FEA,HI.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9857480525970459,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9898200631141663,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.2998615503311157,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.9195374250411987,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Equalization,0.8688411116600037,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.4059980809688568,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9029644131660461,1.0
FEA,LO.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9315539002418518,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9506750702857971,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.3749707341194153,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.5181456208229065,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Equalization,0.8967064619064331,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.23144462704658508,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9209786653518677,1.0
FEA,MD.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.966354489326477,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9546563625335693,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.7084644436836243,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.7479767203330994,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Equalization,0.0017317547462880611,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9657536745071411,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.2660764455795288,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.011309418827295303,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.8903340101242065,1.0
HAP,HI.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.959158182144165,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9650347232818604,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.2855254113674164,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.520549476146698,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Equalization,0.9380027055740356,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Reverberation,0.997906506061554,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.3565092980861664,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.876923680305481,1.0
HAP,LO.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
HAP,MD.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9611508250236511,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9630614519119263,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.29423442482948303,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,0.9999999403953552,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.5720975399017334,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,0.9999999403953552,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Equalization,0.8249353170394897,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9351140260696411,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.35571789741516113,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.8949911594390869,0.9999999403953552
HAP,MD.wav,Male,Caucasian,Not Hispanic,Clipping,0.9999999403953552,0.9999999403953552
NEU,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9829469919204712,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9787325263023376,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.18196362257003784,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.22781549394130707,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.006165612954646349,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.8860922455787659,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.34377193450927734,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9934051036834717,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
